h_m_s,SMU.UN
2019-04-04 15:21:24,-1.6686796870350637e-44
2019-04-04 15:21:25,-5.562265623450212e-45
2019-04-04 15:21:26,-1.8540885411500707e-45
2019-04-04 15:21:27,-6.180295137166902e-46
2019-04-04 15:21:28,-2.0600983790556342e-46
2019-04-04 15:21:29,-6.866994596852114e-47
2019-04-04 15:21:30,-2.2889981989507044e-47
2019-04-04 15:21:31,-7.629993996502348e-48
2019-04-04 15:21:32,-2.5433313321674494e-48
2019-04-04 15:21:33,-8.477771107224832e-49
2019-04-04 15:21:34,-2.825923702408277e-49
2019-04-04 15:21:35,-9.419745674694257e-50
2019-04-04 15:21:36,-3.139915224898086e-50
2019-04-04 15:21:37,-1.046638408299362e-50
2019-04-04 15:21:38,-3.488794694331206e-51
2019-04-04 15:21:39,-1.1629315647770687e-51
2019-04-04 15:21:40,-3.8764385492568955e-52
2019-04-04 15:21:41,-1.2921461830856318e-52
2019-04-04 15:21:42,-4.307153943618773e-53
2019-04-04 15:21:43,-1.4357179812062578e-53
2019-04-04 15:21:44,-4.785726604020859e-54
2019-04-04 15:21:45,-1.5952422013402863e-54
2019-04-04 15:21:46,-5.317474004467621e-55
2019-04-04 15:21:47,-1.7724913348225403e-55
2019-04-04 15:21:48,-5.908304449408468e-56
2019-04-04 15:21:49,-1.9694348164694893e-56
2019-04-04 15:21:50,-6.564782721564964e-57
2019-04-04 15:21:51,-2.1882609071883213e-57
2019-04-04 15:21:52,-7.29420302396107e-58
2019-04-04 15:21:53,-2.4314010079870235e-58
2019-04-04 15:21:54,-8.104670026623412e-59
2019-04-04 15:21:55,-2.7015566755411374e-59
2019-04-04 15:21:56,-9.005188918470458e-60
2019-04-04 15:21:57,-3.0017296394901527e-60
2019-04-04 15:21:58,-1.0005765464967176e-60
2019-04-04 15:21:59,-3.3352551549890585e-61
2019-04-04 15:22:00,-1.1117517183296862e-61
2019-04-04 15:22:01,-3.705839061098954e-62
2019-04-04 15:22:02,-1.2352796870329846e-62
2019-04-04 15:22:03,-4.1175989567766155e-63
2019-04-04 15:22:04,-1.3725329855922053e-63
2019-04-04 15:22:05,-4.575109951974017e-64
2019-04-04 15:22:06,-1.5250366506580058e-64
2019-04-04 15:22:07,-5.083455502193353e-65
2019-04-04 15:22:08,-1.6944851673977843e-65
2019-04-04 15:22:09,-5.648283891325948e-66
2019-04-04 15:22:10,-1.8827612971086492e-66
2019-04-04 15:22:11,-6.275870990362164e-67
2019-04-04 15:22:12,-2.091956996787388e-67
2019-04-04 15:22:13,-6.973189989291293e-68
2019-04-04 15:22:14,-2.3243966630970977e-68
2019-04-04 15:22:15,-7.747988876990325e-69
2019-04-04 15:22:16,-2.5826629589967753e-69
2019-04-04 15:22:17,-8.608876529989251e-70
2019-04-04 15:22:18,-2.869625509996417e-70
2019-04-04 15:22:19,-9.565418366654724e-71
2019-04-04 15:22:20,-3.188472788884908e-71
2019-04-04 15:22:21,-1.062824262961636e-71
2019-04-04 15:22:22,-3.542747543205453e-72
2019-04-04 15:22:23,-2066.6666666666665
2019-04-04 15:22:24,-688.8888888888888
2019-04-04 15:22:25,-229.6296296296296
2019-04-04 15:22:26,-76.5432098765432
2019-04-04 15:22:27,-25.51440329218107
2019-04-04 15:22:28,-8.50480109739369
2019-04-04 15:22:29,-2.83493369913123
2019-04-04 15:22:30,-0.94497789971041
2019-04-04 15:22:31,-0.3149926332368033
2019-04-04 15:22:32,-0.10499754441226777
2019-04-04 15:22:33,-0.034999181470755925
2019-04-04 15:22:34,-0.011666393823585308
2019-04-04 15:22:35,-0.0038887979411951026
2019-04-04 15:22:36,-0.0012962659803983675
2019-04-04 15:22:37,-0.00043208866013278916
2019-04-04 15:22:38,-0.00014402955337759638
2019-04-04 15:22:39,-4.800985112586546e-05
2019-04-04 15:22:40,-1.600328370862182e-05
2019-04-04 15:22:41,-5.3344279028739405e-06
2019-04-04 15:22:42,-1.7781426342913135e-06
2019-04-04 15:22:43,-5.927142114304378e-07
2019-04-04 15:22:44,-1.9757140381014595e-07
2019-04-04 15:22:45,-6.585713460338199e-08
2019-04-04 15:22:46,-2.195237820112733e-08
2019-04-04 15:22:47,66.6666666593492
2019-04-04 15:22:48,22.222222219783067
2019-04-04 15:22:49,7.407407406594356
2019-04-04 15:22:50,2.4691358021981187
2019-04-04 15:22:51,0.8230452673993729
