h_m_s,ABX,ACB,AEM,BAM.A,BNS,CNQ,CNR,CRON,CVE,ECA,ENB,FOOD,G,HQU,HSD,LUG,MFC,PTG,PVG,RY,SHOP,SMU.UN,SU,TD,TECK.B,WPM,XIU,XSP
2019-04-04 11:48:47,,,,63.36,71.5,36.77,,24.49,,,,,15.29,68.92,14.12,,23.47,,11.46,103.69,,,,,,31.08,,
2019-04-04 11:48:48,,11.85,,,,36.77,,24.49,,9.27,49.08,,,68.93,,5.25,23.47,,11.46,103.69,261.0,,43.47,74.96,30.89,31.08,,32.09
2019-04-04 11:48:49,,11.85,,,,36.77,,,,,49.08,,,68.92,,,,,11.46,,261.04,,,,,,,
2019-04-04 11:48:50,,,,63.36,71.5,36.76,120.12,24.49,12.0,9.27,,,15.29,68.92,14.12,,23.46,,,103.68,261.04,,43.46,74.95,30.88,31.08,24.46,32.09
2019-04-04 11:48:51,,,,63.36,71.5,36.76,,,12.0,9.27,,,,,14.12,,23.46,,11.46,103.68,261.04,,43.46,74.95,30.88,31.08,24.46,
2019-04-04 11:48:52,,,,,71.5,36.76,,,,,,,15.29,68.92,14.12,,23.46,,,,261.04,,,74.95,30.88,,,
2019-04-04 11:48:53,17.83,,,,71.5,36.75,120.12,,12.0,,,,,68.92,,5.25,,,,103.68,,,43.46,74.95,30.88,,,
2019-04-04 11:48:54,,,,63.36,,36.75,,,12.0,,49.08,,,68.92,,,,,,103.68,261.04,,43.46,74.95,30.88,,,
2019-04-04 11:48:55,17.83,,,,,,,24.49,12.01,9.27,,,,68.92,,,23.46,,,103.68,261.04,,43.46,74.95,30.88,,,
2019-04-04 11:48:56,,,,,71.5,,,,12.01,9.27,,,,,,,,,,103.68,261.04,,43.46,74.95,30.88,,24.46,
2019-04-04 11:48:57,,11.85,57.24,63.36,71.49,36.75,,24.49,12.01,9.27,49.08,,15.29,68.92,,,23.46,,11.46,,261.04,,,74.95,30.89,31.08,,
2019-04-04 11:48:58,17.83,11.85,57.24,63.36,71.5,36.75,,,12.01,,49.08,,,,,,,,11.46,,260.75,,43.46,,30.89,31.08,24.46,
2019-04-04 11:48:59,,11.85,57.24,63.36,71.49,,,,,,49.08,,,,,,23.46,,11.46,,260.76,,43.46,,30.89,,,
2019-04-04 11:49:00,,,,,71.49,36.75,,,12.01,,,,,68.92,,,23.46,,11.46,,260.78,,43.46,,,31.08,24.46,
2019-04-04 11:49:01,17.82,,57.22,63.36,71.49,36.75,120.12,,12.01,9.27,,,15.29,68.92,14.13,,23.46,,11.45,,260.77,,43.46,74.95,,31.07,24.46,
2019-04-04 11:49:02,17.81,11.85,57.2,,71.5,,120.12,,12.01,,,,15.28,,14.12,,,,11.45,,260.77,,,,30.88,31.07,24.46,
2019-04-04 11:49:03,17.81,11.85,,,71.5,,,,,,,,15.28,68.92,,5.25,,,,,,,,,30.88,31.07,,
2019-04-04 11:49:04,17.81,,,63.36,71.49,36.75,120.12,24.49,,,,3.49,15.28,68.92,14.12,,,,,,,,,,30.88,,,
2019-04-04 11:49:05,17.82,11.85,57.22,63.36,71.49,36.75,120.12,,12.01,9.27,49.08,,15.29,68.91,14.13,,23.46,,11.45,,260.77,,43.46,74.95,30.88,31.07,24.46,32.09
2019-04-04 11:49:06,17.82,,57.22,63.36,,36.75,120.12,,,9.27,49.08,,15.29,68.91,,,23.46,,,,260.77,,43.46,,30.89,31.07,,32.09
2019-04-04 11:49:07,17.82,11.85,,63.36,71.49,36.76,120.12,,12.01,9.27,49.08,,15.29,68.92,,,23.46,,,103.68,,,43.47,74.95,30.89,31.07,24.46,32.09
2019-04-04 11:49:08,,,57.22,63.36,71.49,36.76,120.13,24.49,12.01,9.27,49.08,,,68.92,14.12,5.25,23.46,,11.45,,260.76,,43.47,74.95,30.9,31.07,24.46,32.09
2019-04-04 11:49:09,,,,63.36,71.49,36.76,120.13,,,9.27,49.08,,,68.92,14.12,,,,,,,,43.47,74.95,30.9,31.07,24.46,32.09
2019-04-04 11:49:10,17.82,11.85,,,,36.77,,,12.01,,,,15.29,68.92,14.12,,,,,,260.76,,43.47,74.95,30.9,,,32.09
2019-04-04 11:49:11,,,,,,36.77,,24.49,,9.27,,,,68.92,14.12,,23.46,,,,,,43.47,74.95,30.89,,,
2019-04-04 11:49:12,17.82,11.85,57.22,,71.49,36.77,,24.5,,9.27,,,,68.92,,,,,11.45,,260.76,,,74.95,30.9,31.07,,
2019-04-04 11:49:13,,11.85,57.22,,,,,,12.01,,49.08,,15.29,68.92,,,,,,,260.77,,43.48,74.95,30.9,,24.46,
2019-04-04 11:49:14,,,57.22,,,36.77,,24.5,12.01,,49.08,,,68.92,,,,,,,260.7,,43.48,,,,,
2019-04-04 11:49:15,17.82,,57.22,63.36,,36.77,,,12.01,,49.08,,,68.92,14.13,5.25,23.46,,,,260.72,,43.48,,,,24.46,32.09
2019-04-04 11:49:16,,,57.22,,71.49,36.77,,,,9.27,49.08,,,68.92,14.12,,23.46,,11.45,,260.72,,43.48,74.95,,31.07,24.46,32.09
2019-04-04 11:49:17,,,57.22,,,,,,,,,3.49,,68.92,,,,,11.45,,260.72,,43.48,,,31.07,,
2019-04-04 11:49:18,,11.85,57.22,63.36,,36.77,120.13,24.5,,,49.08,,15.29,68.92,14.12,,,,,,,,,,30.9,,24.46,
2019-04-04 11:49:19,17.82,11.85,57.22,63.36,71.5,36.78,120.15,,12.01,9.27,49.08,,,68.92,14.12,,23.46,,11.45,103.69,,,43.49,74.95,30.9,31.07,24.46,32.09
2019-04-04 11:49:20,,11.85,57.22,63.36,71.5,36.79,,,12.01,9.27,49.08,,,68.93,14.12,5.25,23.46,,11.45,103.69,,,43.49,74.95,30.9,,24.46,32.09
2019-04-04 11:49:21,17.82,11.85,57.22,,71.5,36.79,,,,9.27,,,15.29,68.92,14.12,,,,11.45,,260.72,,43.49,,30.9,31.07,,32.09
2019-04-04 11:49:22,,11.85,57.22,,71.5,36.79,,,12.01,9.27,,,15.3,68.92,14.12,,,,,,,,43.49,74.95,,,,32.09
2019-04-04 11:49:23,17.82,11.85,57.22,63.36,71.48,36.79,120.16,,12.01,9.27,49.08,,15.3,,14.12,5.25,23.46,,,103.69,259.71,,43.49,74.95,,31.07,24.46,
2019-04-04 11:49:24,,,57.2,,71.48,36.79,120.13,,,9.27,49.08,,15.3,68.92,14.12,,23.46,,11.45,103.68,259.8,,43.49,74.95,30.9,31.07,24.46,
2019-04-04 11:49:25,17.82,11.85,57.2,63.36,,36.79,120.13,24.5,,9.27,49.08,,15.3,68.92,14.12,,23.46,,,103.68,260.19,,43.49,74.95,30.9,31.07,24.46,
2019-04-04 11:49:26,,11.85,57.2,,71.48,,120.13,24.51,,,,,15.3,68.92,14.12,,,,,103.68,260.19,,43.49,74.95,30.89,,,32.09
2019-04-04 11:49:27,,,,63.36,,,120.13,24.51,12.01,9.27,,,15.3,68.92,14.12,,,,,103.68,,,43.49,74.95,30.89,31.07,24.46,
2019-04-04 11:49:28,17.82,,57.2,63.36,71.48,36.8,120.13,24.51,,9.27,,,15.3,68.92,14.12,,,,,103.68,260.23,,43.49,74.95,30.9,,24.46,
